Hospitals Name,Hospital Address,Pincode,website,City,Category,Founded,Number,Email,Other Email,Other Email.1,Verified_Emails,Secondary_Emails,Other contact,Other contact.1,Other contact.2,Other contact.3, , .1, .2, .3, .4,clean_phone,clean_email
Shree Mahaveer Blood Bank,"4th Floor, Radio Complex, Shivaji Road, Shivaji Road, Belgaum, Karnataka 590002",590002,,Karnataka, Blood Banks,,0831 243 0759,hreemahaveerbb@gmail.com,mahavirbloodbankm@gmail.com,,,csreena7@gmail.com,9480275212,9824158042,8312430759,,,,,,,,hreemahaveerbb@gmail.com
Hubli Lions Blood Bank,"Vivekanand General Hospital Compound, Deshpande Nagar, Deshpande Nagar, Hubli, Karnataka 580029",580029,,Karnataka, Blood Banks,,0836 225 8080,dwdhublilionbb@gmail.com,,,,atulvkulkarni@gmail.com,9448007249,,,,,,,,,,dwdhublilionbb@gmail.com
Lions Blood Bank,"Jain Hospital, Millers Road, Vasanth Nagar, Vasanth Nagar, Bengaluru, Karnataka 560052",560052,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,080 2226 6807,info@lionsbloodbank.net,drmvijayr@lionsbloodbank.org,lionsbloodcentrekundli@gmail.com,,msmdu2013@gmail.com,+919591916395,9717897506,09717897500,09717897520,09717897504,9319982104,9319982105,,,,info@lionsbloodbank.net
JC Voluntary Blood Bank,"Second Floor, Narasimha Building, Bengaluru - Honnavar Rd, Shivakumara Swamiji Circle, Stadium Circle, Nisarga Layout, Tumkur, Tumakuru, Karnataka 572103",572103,,Karnataka, Blood Banks,,0816 227 2980,jcvbloodbank@gmail.com,,,,bagyarani@gmail.com,8970137958,,,,,,,,,,jcvbloodbank@gmail.com
Belli Blood Bank,"Gandhi Nagar, Tumakuru, Karnataka 572102",572102,,Karnataka, Blood Banks,,0816 225 2777,bellilokesh@gmail.com,bellibloodbank2019@gmail.com,,,ca4schhajer@gmail.com,9844354525,,,,,,,,,,bellilokesh@gmail.com
Smt Vasantidevi Baldota Blood Bank,"Opposite APMC, Baldota Colony, Tungabhadra Dam Rd, Hosapete, Karnataka 583201",583201,,Karnataka, Blood Banks,,083942 31901,hello@ecosia.org,,,,securities.aaron@gmail.com,9945188052,,,,,,,,,,hello@ecosia.org
Health Care Blood Bank,"Chakkar Katta, Maktampura, Gulbarga, Karnataka 585101",585101,,Karnataka, Blood Banks,,084722 61886,aiimsbloodbank@gmail.com,info@makhealthcareprospects.com,,,jrd.roc@gmail.com,,,,,,,,,,,aiimsbloodbank@gmail.com
Victoria Hospital Blood Bank,"53-714, 1st Main Rd, New Tharagupet, Bengaluru, Karnataka 560002",53-714,,Karnataka, Blood Banks,,080 2670 0001,supdtvgh@gmail.com,,,,csnavin@gmail.com,9059522294,7829979635,9591497657,,,,,,,,supdtvgh@gmail.com
Life Care Blood Bank,"Shop No. 129, Opposite Maiyas Hotel And 4th Block Police Station, 7th Main, New Diagonal Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",560011,,Karnataka, Blood Banks,,091413 64183,lifecarebloodbank@gmail.com,,,,cavysarma@gmail.com,+917890590510,9133228469,,,,,,,,,lifecarebloodbank@gmail.com
"Life Line Blood Bank, Karnataka Hemophilia Society, Davangere","#1138, Ring Rd, behind KSFC, S S Layout B Block, Nijalingappa Layout, Davanagere, Karnataka 577004",577004,http://www.carehemophilia.org/,Karnataka, Blood Banks,,081922 31948,khs@carehemophilia.org,,,,svm.svmchennai@gmail.com,7795287877,,,,,,,,,,khs@carehemophilia.org
krishna Rajendra Hospital Blood Bank,"Dhanavantri Rd, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001",570001,,Karnataka, Blood Banks,,0821 252 6230,,,,,dkandc@gmail.com,9717970933,8979084545,9412333612,9027536220,9319136644,7520327889,9901997671,07509061832,,,
Narayana Hrudayalaya Blood Bank,"258/A, Hosur Rd, Bommasandra Industrial Area, Bengaluru, Karnataka 560099",560099,http://www.narayanahealth.org/specialities/lab-blood-bank,Karnataka, Blood Banks,,1860 208 0208,info.dnsh@narayanahealth.org,hirakjyoti.das.dr@narayanahealth.org,careers@narayanahealth.org,,ascentiqaventures@gmail.com,8811888888,8980013589,9448313821,,,,,,,,info.dnsh@narayanahealth.org
BELLI BLOOD BANK,"Rayaradoddi, Karnataka 562159",562159,,Karnataka, Blood Banks,,098452 35648,bellilokesh@gmail.com,bellibloodbank2019@gmail.com,,,consultingcs.bbsr@gmail.com,9844354525,,,,,,,,,,bellilokesh@gmail.com
SDM Blood Bank,"Sattur, Dharwad, Karnataka",,http://sdmmedicalcollege.org/,Karnataka, Blood Banks,,0836 247 7777,,,,,rscs72@gmail.com,,,,,,,,,,,
Indian Red Cross Society Blood Bank,"‘Red Cross Bhavan’, Behind DC Office, Dakshina Kannada, Mangalore, Karnataka 575001",575001,http://redcrossdk.org/,Karnataka, Blood Banks,,0824 242 3755,vdkeshwava@gmail.com,ircs@indianredcross.org,,,agarwalp678@gmail.com,9934296282,9818228394,9319982105,7567166111,,,,,,,vdkeshwava@gmail.com
Hubli Lions Blood Bank,"Vivekanand General Hospital Campus, Deshpande Nagar, Hubli, Karnataka 580029",580029,,Karnataka, Blood Banks,,0836 236 6200,dwdhublilionbb@gmail.com,,,,ggkdelhi@gmail.com,9448007249,,,,,,,,,,dwdhublilionbb@gmail.com
Kasturba Medical College Blood Bank,"Agumbe - Udupi Hwy, Madhav Nagar, Eshwar Nagar, Manipal, Karnataka 576104",576104,,Karnataka, Blood Banks,,0820 292 2331,secretary@mgims.ac.in,,,,mpk927@gmail.com,9868142141,,,,,,,,,,secretary@mgims.ac.in
Davanagere Blood Bank,"H.NO 348, Mahaveera complex, 8th Main, 8th Cross Rd, Davanagere, Karnataka 577002",577002,,Karnataka, Blood Banks,,081922 36655,9902859859-ircskarnataka@yahoo.in,redcrossdvg@gmail.com,ircskpl@gmail.com,,youtheyes@gmail.com,9902859859,9448415081,9901870706,,,,,,,,9902859859-ircskarnataka@yahoo.in
Bangalore Lions Service Trust,"18, Millers Road, Vasanth Nagar, Millers Road, Bengaluru, Karnataka 560052",560052,http://lionsbloodbank.org/,Karnataka, Blood Banks,,080 2226 6807,lcbjayanagar@gmail.com,lionchkumar0702@gmail.com,,,gokulanca@gmail.com,8147783617,9902014461,,,,,,,,,lcbjayanagar@gmail.com
VIJAY MAHANT BLOOD BANK,"Gorbal Rd, Naka, Ilkal, Karnataka 587125",587125,https://vijay-mahant-blood-bank.business.site/?utm_source=gmb&utm_medium=referral,Karnataka, Blood Banks,,094482 93298,,,,,krishi.2003@gmail.com,,,,,,,,,,,
Rashtrotthana Blood Centre,"#7, Smt Subhadraben Jayantilal Nagardas Sha (Jain) Bhavan Near Police Station, Gavipuram Guttahalli, Kempegowda Nagar, Bengaluru, Karnataka 560019",560019,http://www.bloodcentre.rashtrotthana.org/,Karnataka, Blood Banks,,080 2974 7870,rbloodbankhubli@gmail.com,bloodcentre@rashtrotthana.org,,,sanjucs4u@gmail.com,9480064704,,,,,,,,,,rbloodbankhubli@gmail.com
Kempegowda Medical Service Trust,"1082/9, 3rd Floor, Srinivasa Prasanna Complex, Triveni Main Rd, Yeswanthpur, Bengaluru, Karnataka 560022",560022,,Karnataka, Blood Banks,,097313 85742,kempegowdamst@gmail.com,principalkims@gmail.com,,,kvndco@gmail.com,9972111552,,,,,,,,,,kempegowdamst@gmail.com
Live Blood Bank,"#20 Lidkar Colony, Industrial Estate Gokul Rd, Karnataka 580030",580030,http://livebloodbank.in/,Karnataka, Blood Banks,,0836 223 2288,sadanandterdal@gmail.com,,,,vrandas@gmail.com,9731978232,8792639366,,,,,,,,,sadanandterdal@gmail.com
Belgum Blood Bank With Blood COMPONENTS & Apheresis Center,"Old PB Rd, behind Vijaya Hospital (Dr. Prakash Patil), Ayodhya Nagar, Sadashiv Nagar, Belgaum, Karnataka 590019",590019,https://belgum-blood-bank-with-blood-components-apheresis.business.site/,Karnataka, Blood Banks,,0831 242 5835,,,,,sanjay918@gmail.com,,,,,,,,,,,
Ankur Blood Bank,"First Floor, Gomatesh Arcade, R K Colony, Chikodi, Karnataka 591201",591201,,Karnataka, Blood Banks,,089512 30706,,,,,filingsolution@gmail.com,09422135495,9422135495,8662504364,,,,,,,,
Rotary Campco Blood Bank ರೋಟರಿ ಕ್ಯಾಂಪ್ಕೋ ಬ್ಲಡ್ ಬ್ಯಾಂಕ್,"Puttur, Karnataka 574201",574201,,Karnataka, Blood Banks,,082512 34242,connect@rotarybloodbank.org,induscollegeputtur@gmail.com,,,rocatgsa@gmail.com,9449215502,,,,,,,,,,connect@rotarybloodbank.org
Jeevan Rekha Blood Bank,"Karnataka State Highway 31, Jath, Maharashtra 416404",416404,,Karnataka, Blood Banks,,02344 248 000,rajeevbloodbank@gmail.com,anshulpalm@gmail.com,drneelamagarwal@ymail.com,,bhasinraghavan@gmail.com,,,,,,,,,,,rajeevbloodbank@gmail.com
Rotary Red Cross Blood Bank.Sagar-577401,"Sub Divisional hospital, J C Rd, Sagar, Karnataka 577401",577401,https://rotary-red-cross-blood-bank.business.site/,Karnataka, Blood Banks,,094810 29944,,,,,gokulgca@gmail.com,,,,,,,,,,,
Bagalkot Blood Bank,"Bagalkot - Ilkal Road, Kaulpet, near PMNM Dental College, Bagalkot, Karnataka 587101",587101,,Karnataka, Blood Banks,,083542 20420,bagalkotbloodbankbagalkot@gmail.com,,,,anp.mdu@gmail.com,9448939708,9448037225,,,,,,,,,bagalkotbloodbankbagalkot@gmail.com
The Rotary Blood Bank,"Hospital, Kelgeri Rd, Kelgeri, Dharwad, Karnataka 580008",580008,,Karnataka, Blood Banks,,0836 274 6123,connect@rotarybloodbank.org,sonu.singh@rotarybloodbank.org,blood@rotarybloodbank.org,,shyambhai88@gmail.com,8130597597,info@rotarybloodbankfaridabad.org,,,,,,,,,connect@rotarybloodbank.org
Blood Bank,"The District Surgeon, Or Superintendent, Conn At Blood, Ba-new, Wenlock District, Bunder, Bunder, Mangalore, Karnataka 575001",575001,,Karnataka, Blood Banks,,0824 241 0701,aiimsbloodbank@gmail.com,connect@rotarybloodbank.org,,,registrarofcompanies@gmail.com,7838858545,,,,,,,,,,aiimsbloodbank@gmail.com
swamy vivekananda voluntary bloodbank,"Corporation circle, Rajaram Mohan Roy Road, Sampangi Rama Nagar, Bengaluru, Karnataka 560027",560027,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,093437 73931,vivekanandabloodbank@gmail.com,,,,infoskg90@gmail.com,9740825658,,,,,,,,,,vivekanandabloodbank@gmail.com
Indian Red Cross Society Karnataka State Branch,"Sri Rnganatha Nivasa, J. C. R. 4th cross (West )Chitradurga,, JCR Extension, Vijayanagar, Chitradurga, Karnataka 577501",577501,http://www.indianredcross.org/south-india.html,Karnataka, Blood Banks,,098457 72800,yrckar@gmail.com,ircsanbranch@gmail.com,9902859859-ircskarnataka@yahoo.in,,swapnacs12@gmail.com,9902859859,,,,,,,,,,yrckar@gmail.com
"Jeevadhara matoshree blood bank, kalaburgi","Building no 2/907/20/1, Kosgi Mansion Opp Chandrakant Patil School Sedam, Road, Gulbarga, Karnataka 585105",585105,https://jeevadhara-matoshree-blood-bank-kalaburgi.business.site/,Karnataka, Blood Banks,,084722 33999,,,,,rtayalandassociates@gmail.com,,,,,,,,,,,
"Blood Bank , Mandya Mims","2nd Cross Rd, Tamilians Colony, Nehru Nagar, Mandya, Karnataka 571401",571401,http://www.mimsmandya.org/,Karnataka, Blood Banks,,082322 28840,,,,,asa.acs@gmail.com,,,,,,,,,,,
Blood Bank,"Kundapura, Karnataka 576201",576201,,Karnataka, Blood Banks,,082542 33111,aiimsbloodbank@gmail.com,connect@rotarybloodbank.org,,,caglgupta@gmail.com,7838858545,,,,,,,,,,aiimsbloodbank@gmail.com
Indian Red Cross Society,"Basavanagudi, Shivamogga, Karnataka 577201",577201,http://www.indianredcross.org/,Karnataka, Blood Banks,,081822 73727,helpdeskredcross@gmail.com,,,,krishi.2003@gmail.com,9319982104,9319982105,,,,,,,,,helpdeskredcross@gmail.com
AskBlood.Com,"2nd A Main Rd, HAL 3rd Stage, Kodihalli, Bengaluru, Karnataka 560008",560008,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,080 4117 1543,regulatory@aabb.org,medicalstaff@ribc.org,blog@cancer.net,,cavysarma@gmail.com,9718880122,,,,,,,,,,regulatory@aabb.org
Basaveshwara Health Blood Storage Center,"Pavilion Road, P.J. Extn, Davanagere, Karnataka 577004",577004,,Karnataka, Blood Banks,,097427 82222,sjmbloodbank@gmail.com,qualitycontrol.bangalore@gmail.com,,,caanilrenu@gmail.com,,,,,,,,,,,sjmbloodbank@gmail.com
Red Cross Society.,"Chikkaballapur, Karnataka 562101",562101,,Karnataka, Blood Banks,,081562 72118,kolkataaso@indianredcross.org,rndeokota@gmail.com,ircsanbranch@gmail.com,,rshyd9@gmail.com,9319982104,9319982105,09330260108,,,,,,,,kolkataaso@indianredcross.org
Vivekananda Charitable Blood Bank,"Parvathi Nagar, Ballari, Karnataka 583103",583103,,Karnataka, Blood Banks,,097012 53247,svcbb@rocketmail.com,,,,grguptaca@gmail.com,9740825658,7081212212,,,,,,,,,svcbb@rocketmail.com
Blood4u,"#4, 4th cross kaverinagar, rt Nagar post, Bengaluru, Karnataka 560037",560037,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,095380 38163,bloodgroups4u@gmail.com,connect@indianblooddonors.com,,,rkjassociates@gmail.com,,,,,,,,,,,bloodgroups4u@gmail.com
BIRADAR BLOOD STORAGE CENTER MUDHOL,"Mudhol, Karnataka 587313",587313,,Karnataka, Blood Banks,,081056 22767,sachin.mathapati@yahoo.com,,,,efiling.svc@gmail.com,,,,,,,,,,,sachin.mathapati@yahoo.com
Mudhol Blood Storage,"shivji circle opp reddi bank main road, Mudhol, Karnataka",,,Karnataka, Blood Banks,,087624 71000,info@rmhrc.com,gptmudhol2012@gmail.com,,,ca.bsandco@gmail.com,919481029944,08350295453,9448038834,,,,,,,,info@rmhrc.com
Indian Red Cross Society Blood Bank,"Athena Hospital Complex, Falnirroad, Kankanady, Dakshina Kannada, Kankanady, Mangalore, Karnataka 575002",575002,http://redcrossdk.org/,Karnataka, Blood Banks,,0824 241 0787,vdkeshwava@gmail.com,ircs@indianredcross.org,,,rct.tosniwal@gmail.com,9934296282,9818228394,9319982105,7567166111,,,,,,,vdkeshwava@gmail.com
Karnataka Medical College Hospital Blood Bank,"KIMS OPD, Casualty and Emergency, Ram Nagar, Bhavani Nagar, Vidya Nagar, Hubli, Karnataka 580022",580022,,Karnataka, Blood Banks,,080 2272 9080,drwd.kims.bb@gmail.com,dsbagalkote@gmail.com,9902859859-ircskarnataka@yahoo.in,,mukesh5572@gmail.com,9342277697,9902859859,,,,,,,,,drwd.kims.bb@gmail.com
Life Car,"106/2&3, 2nd Floor, Old Madras Road, Opposite-Adarsh Theatre, Ulsoor, Bengaluru, Karnataka 560008",560008,,Karnataka, Blood Banks,,080 2556 7392,customersupport@tataaig,admin@miamilifecars.com,,,vankush@gmail.com,,,,,,,,,,,customersupport@tataaig
M/S. Suchirayu Healthcare Limited Blood Bank,"Jalavi Garden, Off, Gokul Rd, A.Timmasagar, Hubli, Karnataka 580030",580030,,Karnataka, Blood Banks,,0836 223 9000,hschbl@gmail.com,,,,officecsjindal@gmail.com,9986125245,,,,,,,,,,hschbl@gmail.com
The Karnataka Cancer Therapy And Research Institute Smt. Valbai N. Dharamsey Blood Bank,"Main, Navanagar Rd, Amargol, Hubli, Karnataka 580025",580025,,Karnataka, Blood Banks,,0836 222 8217,,,,,kcguptaca@gmail.com,9845303567,,,,,,,,,,
Mallya Hospital Blood Bank,"Ward, East Zone North, Sampangi Rama Nagara, Sampangiram Nagar, Bengaluru, Karnataka 560001",560001,http://www.mallyahospital.net/,Karnataka, Blood Banks,,080 2227 7979,ss_964@rediffmail.com,,,,camcgarg@gmail.com,9845043017,08022277979,,,,,,,,,ss_964@rediffmail.com
Bangalore Institute Of Oncology Blood Bank,"Kalinga Rao Rd, Sampangiram Nagar, Bengaluru, Karnataka 560027",560027,,Karnataka, Blood Banks,,080 4020 6121,drdeepti.hallur@hcgoncology.com,query@hcgel.com,feedback@hcgel.com,,cs.kirandoshi@gmail.com,investors@hcgel.com,,,,,,,,,,drdeepti.hallur@hcgoncology.com
Belgaum Blood Bank And Diagnostic Laboratory,"Blood Bank and Diagnostic Laboratory, Panjim - Belagavi Rd, Highway, Subhash Nagar, Belgaum, Karnataka 590019",590019,,Karnataka, Blood Banks,,0831 242 5835,,,,,chordiyacompany@gmail.com,9448161049,,,,,,,,,,
Transfusion Medicine Centre Blood Bank,"Ward, South Zone, Bannerghatta Main Rd, S.G. Palya, Bengaluru, Karnataka 560029",560029,http://www.nimhans.ac.in/,Karnataka, Blood Banks,,080 2699 5435,aiimsbloodbank@gmail.com,hdl2017_bd@yahoo.com,,,shivani.mathur0@gmail.com,,,,,,,,,,,aiimsbloodbank@gmail.com
Manipal Hospital Transfusion Services Blood Bank,"East St, Konena Agrahara, Ward, East Zone, Bengaluru, Karnataka 560017",560017,http://www.manipalhospitals.com/,Karnataka, Blood Banks,,080 2502 4357,bloodbank@manipalhospitals.com,,,,aklabhcs@gmail.com,,,,,,,,,,,bloodbank@manipalhospitals.com
Rashtrotthana Blood Bank,"1st Main Rd, Gavipuram Extn, Gavipuram Extention, Kempegowda Nagar, Bengaluru, Karnataka 560019",560019,,Karnataka, Blood Banks,,080 2661 0916,bloodcentre@rashtrotthana.org,rbloodbankhubli@gmail.com,,,bmcorporateservices@gmail.com,9480436702,,,,,,,,,,bloodcentre@rashtrotthana.org
District Hospital Blood Bank Dharwad,"Kamalapur, Dharwad, Karnataka 580001",580001,,Karnataka, Blood Banks,,0836 274 7747,,,,,bhasinraghavan@gmail.com,8792145842,+918362741277,,,,,,,,,
Fortis Hospital Private Limited Blood Bank,"Bommanahalli Zone, Arekere, Bengaluru, Karnataka 560076",560076,,Karnataka, Blood Banks,,080662 14055,mailus@fortishealthcare.com,contactus.escorts@fortishealthcare.com,balaraj.r@fortishealthcare.com,,taxationpoint@gmail.com,08376908523,08587099908,,,,,,,,,mailus@fortishealthcare.com
Fr. Mullers Charitable Institutions Blood Bank,"Taluk, Kankanady, Mangalore, Karnataka 575002",575002,http://www.fathermuller.com/,Karnataka, Blood Banks,,0824 223 8000,,,,,sreekrishnakumarfcs@gmail.com,,,,,,,,,,,
K. L. E. Society & Medical Research Centre Blood Bank,"Subhash Nagar, Belgaum, Karnataka 590010",590010,,Karnataka, Blood Banks,,0832 247 3777,medicaldirector@klehopital.org,,,,agarwal.nikesh@gmail.com,,,,,,,,,,,medicaldirector@klehopital.org
Khaja Banda Nawaz Teaching And General Hospital Blood Bank,"Mahaveer Nagar, Halbarga, Rauza, Gulbarga, Karnataka 585102",585102,,Karnataka, Blood Banks,,084722 21155,kbnbloodbank@gmail.com,,,,cabindra@gmail.com,,,,,,,,,,,kbnbloodbank@gmail.com
S. N. R. District Hospital Blood Bank,"SH5, Harohalli, Kolar, Karnataka 563101",563101,,Karnataka, Blood Banks,,081522 22035,dskolar@gmail.com,charakhospital2014@gmail,,,dharmaraj.bhonsle@gmail.com,9448294218,9919030000,9936020000,8050044444,9717970933,8979084545,9412333612,9027536220,,,dskolar@gmail.com
District Hospital Blood Bank Bijapur,"Taluk, Ibrahimpur, Vijayapura, Karnataka 586102",586102,,Karnataka, Blood Banks,,083522 70108,bjrdistricthospitalbb@gmail.com,csbijapur20@gmail.com,nhmgangaloor@gmail.com,,cmbkca@gmail.com,8867225340,,,,,,,,,,bjrdistricthospitalbb@gmail.com
J. S. S. Hospital Blood Bank,"JSS Hospital, Ramanuja Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570004",570004,http://www.jsshospital.in/,Karnataka, Blood Banks,,0821 233 5555,hello@ecosia.org,,,,guptavp@gmail.com,9986649850,,,,,,,,,,hello@ecosia.org
M/S. Tejasvini Hospital Lions Blood Bank,"Pinto's Ln, Mallikatte, Lalbagh, Mangalore, Karnataka 575002",575002,,Karnataka, Blood Banks,,0824 222 5994,,,,,bkannan2007@gmail.com,7259107052,,,,,,,,,,
B. G. S. Apollo Hospital Blood Bank,"Apollo Hospital, New Kantharaj Urs Rd, Kuvempunagara North, Saraswathipuram, Mysuru, Karnataka 570010",570010,http://www.apollobgshospitalsmysore.com/,Karnataka, Blood Banks,,0821 256 6666,,,,,bkannan2007@gmail.com,,,,,,,,,,,
District Hospital Blood Bank Udupi,"Kinnimulki, Udupi, Karnataka 576101",576101,,Karnataka, Blood Banks,,0820 252 0555,udp.districthospital.bb@gmail.com,,,,garg.ashok.roc@gmail.com,9844364352,,,,,,,,,,udp.districthospital.bb@gmail.com
District Hospital Blood Bank Karwar,"K.H.B. Colony, Karwar, Karnataka 581301",581301,,Karnataka, Blood Banks,,083822 26318,districthospital.bb@gmail.com,,,,mahadeva.cs2010@gmail.com,9008891201,+919008891201,+918382226318,8175632672,8550002203,,,,,,districthospital.bb@gmail.com
Mallegowda District Hospital Blood Bank,"Government Hospital Belur Road Hosamane Badavane, Chikmagalur, Karnataka 577101",577101,,Karnataka, Blood Banks,,082622 38083,glb.districthospital.bb@gmail.com,,,,puneet.matta@gmail.com,9449651152,9448822018,8472278644,,,,,,,,glb.districthospital.bb@gmail.com
Jeevan Surksha Blood Storage Center,"Magi Hospital, Near Raghavendra Temple, Divatageri Galli, Vijayapura, Karnataka 586101",586101,,Karnataka, Blood Banks,,091640 32956,,,,,hbkalaria.roc@gmail.com,9414150555,8003456247,,,,,,,,,
Railway Hospital Blood Bank,"Paramahamsa Rd, Gokulam 4th Stage, Yadavagiri, Mysuru, Karnataka 570020",570020,,Karnataka, Blood Banks,,0821 251 7238,sdeorari@yahoo.com,ircschhattisgarh@gmail.com,ircs_raipur@rediffmail.com,,skroy58@gmail.com,+919957553526,9962500500,9449843037,,,,,,,,sdeorari@yahoo.com
Sagar Hospital Blood Bank,"54, 30th Cross Rd, Extension, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",560041,,Karnataka, Blood Banks,,080 2653 6712,bloodbank.bsk@sagarhospitals.in,,,,dewan.cs@gmail.com,9591991888,9448004502,+919591991888,+918042999177,,,,,,,bloodbank.bsk@sagarhospitals.in
District Hospital Blood Bank Bagalkot,"Highway Vidyagiri, Karnataka 587101",587101,,Karnataka, Blood Banks,,083542 36030,dsbagalkote@gmail.com,,,,sbmgandco@gmail.com,9448037225,9342277697,,,,,,,,,dsbagalkote@gmail.com
Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,"Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560051",560051,,Karnataka, Blood Banks,,080 2286 6529,meenakshispatil@gmail,meenakshispatil@gmail.com,,,amj.associates@gmail.com,9481520707,,,,,,,,,,meenakshispatil@gmail
Sri Jayadeva Institute Of Cardiology Blood Bank,"East Ward South Zone Bengaluru, Karnataka 560069",560069,,Karnataka, Blood Banks,,080 2297 7213,nanduma64@gmail.com,,,,cs.faridabad@gmail.com,9886812718,,,,,,,,,,nanduma64@gmail.com
VISL Hospital Blood Bank,"New Bullapura, Bhadravathi, Karnataka 577301",577301,,Karnataka, Blood Banks,,081822 71620,kavitha.sadashiv@gmail.com,,,,sarkar6534@gmail.com,9480828906,+919480828906,+918182271620,,,,,,,,kavitha.sadashiv@gmail.com
B. L. D. E. Association- Medical College & Research Centre Blood Bank,"Taluk, Ibrahimpur, Vijayapura, Karnataka 586103",586103,,Karnataka, Blood Banks,,083522 62770,bjr.bldemedicalcollege.bb@gmail.com,,,,pcschn1@gmail.com,,,,,,,,,,,bjr.bldemedicalcollege.bb@gmail.com
